subject,session,status,frame_start,frame_end,n_segments,n_frames,min_corr
10,0,recovered,0,1200,4,1200,1.0
10,1,recovered,1200,2400,4,1200,1.0
10,2,recovered,2400,3600,4,1200,1.0
10,3,recovered,3600,4800,4,1200,1.0
11,0,recovered,4800,6000,4,1200,1.0
11,1,recovered,6000,7200,4,1200,1.0
12,0,recovered,7200,8700,5,1500,1.0
12,1,recovered,8700,9900,4,1200,1.0
,,unknown,9900,11100,4,1200,
12,3,recovered,11100,12300,4,1200,1.0
13,0,recovered,12300,13500,4,1200,1.0
13,1,recovered,13500,14700,4,1200,1.0
13,2,recovered,14700,15900,4,1200,1.0
13,3,recovered,15900,17100,4,1200,1.0
14,0,recovered,17100,18300,4,1200,1.0
14,1,recovered,18300,19500,4,1200,1.0
,,unknown,19500,20700,4,1200,
15,0,recovered,20700,21900,4,1200,1.0
15,1,recovered,21900,23100,4,1200,1.0
15,2,recovered,23100,24300,4,1200,1.0
15,3,recovered,24300,25500,4,1200,1.0
16,0,recovered,25500,26700,4,1200,1.0
16,1,recovered,26700,27900,4,1200,1.0
16,2,recovered,27900,29100,4,1200,1.0
16,3,recovered,29100,30300,4,1200,1.0
17,0,recovered,30300,31500,4,1200,1.0
17,1,recovered,31500,32700,4,1200,1.0
,,unknown,32700,35100,8,2400,
18,0,recovered,35100,36300,4,1200,1.0
18,1,recovered,36300,37500,4,1200,1.0
18,2,recovered,37500,38700,4,1200,1.0
18,3,recovered,38700,39900,4,1200,1.0
19,0,recovered,39900,41100,4,1200,1.0
19,1,recovered,41100,42300,4,1200,1.0
19,2,recovered,42300,43500,4,1200,1.0
19,3,recovered,43500,44700,4,1200,1.0
1,0,recovered,44700,45900,4,1200,1.0
1,1,recovered,45900,47100,4,1200,1.0
1,2,recovered,47100,48300,4,1200,1.0
1,3,recovered,48300,49500,4,1200,1.0
20,0,recovered,49500,50700,4,1200,1.0
20,1,recovered,50700,51900,4,1200,1.0
20,2,recovered,51900,53100,4,1200,1.0
20,3,recovered,53100,54300,4,1200,1.0
21,0,recovered,54300,55500,4,1200,1.0
21,1,recovered,55500,56700,4,1200,1.0
21,2,recovered,56700,57900,4,1200,1.0
21,3,recovered,57900,59100,4,1200,1.0
22,0,recovered,59100,60300,4,1200,1.0
22,1,recovered,60300,61500,4,1200,1.0
22,2,recovered,61500,62700,4,1200,1.0
22,3,recovered,62700,63900,4,1200,1.0
23,0,recovered,63900,65100,4,1200,1.0
23,1,recovered,65100,66300,4,1200,1.0
23,2,recovered,66300,67500,4,1200,1.0
23,3,recovered,67500,68700,4,1200,1.0
24,0,recovered,68700,69900,4,1200,1.0
24,1,recovered,69900,71100,4,1200,1.0
24,2,recovered,71100,72300,4,1200,1.0
24,3,recovered,72300,73500,4,1200,1.0
25,0,recovered,73500,74700,4,1200,1.0
25,1,recovered,74700,75900,4,1200,1.0
25,2,recovered,75900,77100,4,1200,1.0
25,3,recovered,77100,78300,4,1200,1.0
26,0,recovered,78300,79500,4,1200,1.0
26,1,recovered,79500,80700,4,1200,1.0
26,2,recovered,80700,81900,4,1200,1.0
26,3,recovered,81900,83100,4,1200,1.0
27,0,recovered,83100,84300,4,1200,1.0
27,1,recovered,84300,85500,4,1200,1.0
27,2,recovered,85500,86700,4,1200,1.0
27,3,recovered,86700,87900,4,1200,1.0
28,0,recovered,87900,89100,4,1200,1.0
28,1,recovered,89100,90300,4,1200,1.0
28,2,recovered,90300,91500,4,1200,1.0
,,unknown,91500,92700,4,1200,
29,0,recovered,92700,94800,7,2100,1.0
29,1,recovered,94800,96000,4,1200,1.0
29,2,recovered,96000,97200,4,1200,1.0
29,3,recovered,97200,98400,4,1200,1.0
2,0,recovered,98400,99600,4,1200,1.0
2,1,recovered,99600,100800,4,1200,1.0
,,unknown,100800,101700,3,900,
2,3,recovered,101700,102900,4,1200,1.0
30,0,recovered,102900,104100,4,1200,1.0
30,1,recovered,104100,105300,4,1200,1.0
30,2,recovered,105300,106500,4,1200,1.0
,,unknown,106500,107700,4,1200,
31,0,recovered,107700,108900,4,1200,1.0
31,1,recovered,108900,110100,4,1200,1.0
31,3,recovered,110100,111300,4,1200,1.0
