recording_index,subject_id,folder_label,n_segments,n_frames,frame_start,frame_end
0,01,01-01*,6,1800,0,1800
1,01,01-02*,6,1800,1800,3600
2,01,01-03*,8,2400,3600,6000
3,01,01-04*,8,2400,6000,8400
4,01,01-05*,6,1800,8400,10200
5,01,01-06*,6,1800,10200,12000
6,02,02-01*,6,1800,12000,13800
7,02,02-02*,6,1800,13800,15600
8,02,02-03*,7,2100,15600,17700
9,02,02-04*,7,2100,17700,19800
10,02,02-05*,6,1800,19800,21600
11,02,02-06*,6,1800,21600,23400
12,03,03-01*,6,1800,23400,25200
13,03,03-02*,6,1800,25200,27000
14,03,03-03*,7,2100,27000,29100
15,03,03-04*,7,2100,29100,31200
16,03,03-05*,6,1800,31200,33000
17,03,03-06*,6,1800,33000,34800
18,04,04-01*,6,1800,34800,36600
19,04,04-02*,6,1800,36600,38400
20,04,04-03*,7,2100,38400,40500
21,04,04-04*,7,2100,40500,42600
22,04,04-05*,6,1800,42600,44400
23,04,04-06*,6,1800,44400,46200
24,05,05-01*,6,1800,46200,48000
25,05,05-02*,6,1800,48000,49800
26,05,05-03*,7,2100,49800,51900
27,05,05-04*,7,2100,51900,54000
28,05,05-05*,6,1800,54000,55800
29,05,05-06*,6,1800,55800,57600
30,06,06-01*,6,1800,57600,59400
31,06,06-02*,7,2100,59400,61500
32,06,06-03*,7,2100,61500,63600
33,06,06-04*,6,1800,63600,65400
34,06,06-05*,6,1800,65400,67200
35,07,07-01*,6,1800,67200,69000
36,07,07-02*,7,2100,69000,71100
37,07,07-03*,7,2100,71100,73200
38,07,07-04*,7,2100,73200,75300
39,07,07-05*,6,1800,75300,77100
40,07,07-06*,6,1800,77100,78900
41,08,08-01*,6,1800,78900,80700
42,08,08-02*,6,1800,80700,82500
43,08,08-03*,7,2100,82500,84600
44,08,08-04*,7,2100,84600,86700
45,08,08-05*,6,1800,86700,88500
46,08,08-06*,6,1800,88500,90300
47,09,09-01*,6,1800,90300,92100
48,09,09-02*,6,1800,92100,93900
49,09,09-03*,7,2100,93900,96000
50,09,09-04*,8,2400,96000,98400
51,09,09-05*,6,1800,98400,100200
52,09,09-06*,6,1800,100200,102000
53,10,10-01*,6,1800,102000,103800
54,10,10-02*,6,1800,103800,105600
55,10,10-03*,7,2100,105600,107700
56,10,10-04*,7,2100,107700,109800
57,10,10-05*,6,1800,109800,111600
58,10,10-06*,6,1800,111600,113400
