recording_index,subject_id,n_segments,n_frames,frame_start,frame_end
0,S01,6,1800,0,1800
1,S03,6,1800,1800,3600
2,S04,6,1800,3600,5400
3,S08,6,1800,5400,7200
4,S09,6,1800,7200,9000
5,S10,6,1800,9000,10800
6,S11,6,1800,10800,12600
7,S12,6,1800,12600,14400
8,S13,5,1500,14400,15900
9,S14,6,1800,15900,17700
10,S15,6,1800,17700,19500
11,S16,6,1800,19500,21300
12,S17,6,1800,21300,23100
13,S20,4,1200,23100,24300
14,S22,4,1200,24300,25500
15,S23,4,1200,25500,26700
16,S24,6,1800,26700,28500
17,S25,6,1800,28500,30300
18,S26,6,1800,30300,32100
19,S27,6,1800,32100,33900
20,S30,6,1800,33900,35700
21,S31,6,1800,35700,37500
22,S32,6,1800,37500,39300
23,S33,6,1800,39300,41100
24,S34,6,1800,41100,42900
25,S35,6,1800,42900,44700
26,S36,6,1800,44700,46500
27,S37,6,1800,46500,48300
28,S38,6,1800,48300,50100
29,S39,6,1800,50100,51900
30,S40,6,1800,51900,53700
31,S41,6,1800,53700,55500
32,S42,6,1800,55500,57300
33,S43,6,1800,57300,59100
34,S44,6,1800,59100,60900
35,S45,6,1800,60900,62700
36,S46,6,1800,62700,64500
37,S47,4,1200,64500,65700
38,S48,6,1800,65700,67500
39,S49,6,1800,67500,69300
